Name,Size,Watt,Price
Corsair Builder Series CX750 Rev. 2,ATX,750W,
Corsair Builder Series CX750M Modular,ATX,750W,
Corsair Builder Series CX850M Modular,ATX,850W,
Corsair CS-M Series CS550M Modular,ATX,550W,
Corsair CS-M Series CS650M Modular,ATX,650W,
Corsair CS-M Series CS750M Modular,ATX,750W,
Corsair CS-M Series CS850M Modular,ATX,850W,
Corsair CV Series CV450,ATX,450W,
Corsair CV Series CV550,ATX,550W,
Corsair CV Series CV650,ATX,650W,
Corsair CV Series CV650 Dual EPS,ATX,650W,
Corsair CX550F RGB,ATX,550W,
Corsair CX550F RGB,ATX,550W,
Corsair CX550M,ATX,550W,
Corsair CX650,ATX,650W,
Corsair CX650F RGB,ATX,650W,
Corsair CX650F RGB,ATX,650W,
Corsair CX650M,ATX,650W,
Corsair CX750,ATX,750W,
Corsair CX750F RGB,ATX,750W,
Corsair CX750F RGB,ATX,750W,
Corsair CX750M,ATX,750W,
Corsair CX850M,ATX,850W,
Corsair HX1000,ATX,1000W,
Corsair HX1000 High Performance,ATX,1000W,
Corsair HX1000i High Performance,ATX,1000W,
Corsair HX1000i High-Performance ATX Power Supply,ATX,1000W,
Corsair HX1200 High Performance,ATX,1200W,
Corsair HX1200i High Performance,ATX,1200W,
Corsair HX750,ATX,750W,
Corsair HX750 High Performance,ATX,750W,
Corsair HX750i High Performance,ATX,750W,
Corsair HX750i High-Performance ATX Power Supply,ATX,750W,
Corsair HX850,ATX,850W,
Corsair HX850 High Performance,ATX,850W,
Corsair HX850i High Performance,ATX,850W,
Corsair HX850i High-Performance ATX Power Supply,ATX,850W,
Corsair HXi Series HX1000i,ATX PS/2,1000W,
Corsair HXi Series HX1200i,ATX,1200W,
Corsair HXi Series HX1500i,ATX PS/2,1500W,
Corsair Professional Platinum Series AX1200i,ATX,1200W,
Corsair Professional Platinum Series AX1500i,ATX,1500W,
Corsair Professional Platinum Series AX1600i,ATX,1600W,
Corsair Professional Platinum Series AX760,ATX,760W,
Corsair Professional Platinum Series AX860,ATX,860W,
Corsair Professional Platinum Series AX860I,ATX,860W,
Corsair RM Series RM650,ATX,650W,
Corsair RM Series RM650i,ATX,650W,
Corsair RM Series RM750 (2021),ATX,750W,
Corsair RM Series RM750i,ATX,750W,
Corsair RM Series RM850 (2021),ATX,850W,
Corsair RM1000,ATX,1000W,
Corsair RM1000x,ATX,1000W,
Corsair RM650i,ATX,650W,
Corsair RM650x,ATX,650W,
Corsair RM850i,ATX,850W,
Corsair RM850x,ATX,850W,
Corsair RM850x,ATX,850W,
Corsair RMe Series RM750e,ATX,750W,
Corsair RMX Series (2021) RM1000x,ATX,1000W,
Corsair RMX Series (2021) RM550x,ATX,550W,
Corsair RMX Series (2021) RM650x,ATX,650W,
Corsair RMX Series (2021) RM750x,ATX,750W,
Corsair RMX Series 2018 RMX750 - white,ATX,750W,
Corsair RMX Series 2018 RMX850,ATX,850W,
Corsair RMX Series RMX750 - white,ATX,750W,
Corsair RMX Series RMX850,ATX,850W,
Corsair RMx Shift Series RM750x,ATX PS/2,750W,
Corsair SF Series SF450 80 PLUS Platinum SFX,SFX,450W,
Corsair SF Series SF600 80 PLUS Gold SFX,SFX,600W,
Corsair SF Series SF600 80 PLUS Platinum SFX,SFX,600W,
Corsair SF Series SF750 80 PLUS Platinum SFX,SFX,750W,
Corsair SF450,SFX,450W,
Corsair SF600,SFX,600W,
Corsair Vengeance Series V650M,ATX,650W,
Corsair VS Series VS350,ATX,350W,
Corsair VS Series VS450,ATX,450W,
Corsair VS Series VS450,ATX,450W,
Corsair VS Series VS550,ATX,550W,
Corsair VS Series VS550,ATX,550W,
Corsair VS Series VS650,ATX,650W,
Corsair VS Series VS650,ATX,650W,
Corsair VS400,ATX,400W,
Corsair VS500,ATX,500W,
Corsair VS600,ATX,600W,
Cougar CMD 500 digitales,ATX,500W,
Cougar CMD 600 digitales,ATX,600W,
COUGAR Gaming 31GM105001P01,ATX,1050W,
COUGAR Gaming 31TP065056H-01,ATX,650W,
COUGAR Gaming 31VG075.0001P,ATX,750W,
COUGAR Gaming CGR GEXP-650,ATX,650W,
COUGAR Gaming CGR GEXP-750,ATX,650W,
COUGAR Gaming CGR GEXP-850,ATX,650W,
COUGAR Gaming CGR GLE-1000,ATX,1000W,
COUGAR Gaming CGR GLE-1200,ATX,1200W,
COUGAR Gaming GEX 1050,ATX,1050W,
COUGAR Gaming GEX X2 1000,ATX,1000W,
COUGAR Gaming GST,ATX,750W,
COUGAR Gaming GST,ATX,850W,
COUGAR Gaming POLAR,ATX,1050W,
COUGAR Gaming POLAR X2,ATX,1200W,
COUGAR Gaming POLAR X2,ATX,1050W,
Cougar GX 1050 V3,ATX,1050W,
Cougar GX 600 V3,ATX,600W,
Cougar GX 800 V3,ATX,800W,
Cougar GX-F,ATX,650W,
Cougar GX-F,ATX,550W,
